hodnota,obdobi,rok,tyden,ukazatel_txt,polozka_txt
29.04,2016-W37,2016,37,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.3,2016-W37,2016,37,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.77,2016-W38,2016,38,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.05,2016-W38,2016,38,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.32,2016-W38,2016,38,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.72,2016-W39,2016,39,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.04,2016-W39,2016,39,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.27,2016-W39,2016,39,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
27.74,2016-W40,2016,40,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.07,2016-W40,2016,40,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.31,2016-W40,2016,40,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.02,2016-W41,2016,41,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.16,2016-W41,2016,41,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.36,2016-W41,2016,41,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.37,2016-W42,2016,42,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.43,2016-W42,2016,42,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.51,2016-W42,2016,42,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.55,2016-W44,2016,44,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.6,2016-W44,2016,44,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.66,2016-W44,2016,44,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.55,2016-W45,2016,45,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.54,2016-W45,2016,45,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.67,2016-W45,2016,45,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.49,2016-W46,2016,46,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.41,2016-W46,2016,46,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
12.96,2016-W46,2016,46,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.47,2016-W47,2016,47,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.32,2016-W47,2016,47,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.04,2016-W47,2016,47,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.65,2016-W48,2016,48,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.42,2016-W48,2016,48,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.19,2016-W48,2016,48,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.91,2016-W49,2016,49,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.59,2016-W49,2016,49,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.25,2016-W49,2016,49,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.28,2016-W50,2016,50,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.86,2016-W50,2016,50,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.46,2016-W50,2016,50,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.56,2016-W51,2016,51,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.12,2016-W51,2016,51,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.52,2016-W51,2016,51,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.95,2017-W01,2017,1,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.53,2017-W01,2017,1,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.7,2017-W01,2017,1,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.33,2017-W02,2017,2,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.87,2017-W02,2017,2,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.71,2017-W02,2017,2,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.51,2017-W03,2017,3,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.99,2017-W03,2017,3,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.87,2017-W03,2017,3,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.53,2017-W04,2017,4,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.02,2017-W04,2017,4,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.8,2017-W04,2017,4,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.54,2017-W05,2017,5,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.05,2017-W05,2017,5,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.92,2017-W05,2017,5,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.56,2017-W06,2017,6,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.07,2017-W06,2017,6,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.95,2017-W06,2017,6,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.5,2017-W07,2017,7,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.06,2017-W07,2017,7,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.1,2017-W07,2017,7,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.54,2017-W08,2017,8,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.1,2017-W08,2017,8,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.29,2017-W08,2017,8,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.51,2017-W09,2017,9,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.1,2017-W09,2017,9,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.39,2017-W09,2017,9,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.5,2017-W10,2017,10,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.1,2017-W10,2017,10,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.4,2017-W10,2017,10,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.39,2017-W11,2017,11,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.02,2017-W11,2017,11,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.27,2017-W11,2017,11,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.24,2017-W12,2017,12,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.88,2017-W12,2017,12,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.37,2017-W12,2017,12,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.12,2017-W13,2017,13,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.73,2017-W13,2017,13,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.35,2017-W13,2017,13,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.01,2017-W14,2017,14,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.63,2017-W14,2017,14,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.3,2017-W14,2017,14,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.04,2017-W15,2017,15,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.83,2017-W15,2017,15,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.15,2017-W15,2017,15,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
30.14,2017-W17,2017,17,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
31.05,2017-W17,2017,17,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.1,2017-W17,2017,17,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.57,2017-W20,2017,20,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.46,2017-W20,2017,20,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.01,2017-W20,2017,20,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.49,2017-W21,2017,21,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.39,2017-W21,2017,21,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14,2017-W21,2017,21,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.52,2017-W22,2017,22,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.43,2017-W22,2017,22,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.98,2017-W22,2017,22,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.44,2017-W23,2017,23,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.35,2017-W23,2017,23,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.95,2017-W23,2017,23,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.05,2017-W24,2017,24,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.11,2017-W24,2017,24,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.91,2017-W24,2017,24,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.88,2017-W25,2017,25,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.95,2017-W25,2017,25,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.74,2017-W25,2017,25,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.59,2017-W26,2017,26,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.64,2017-W26,2017,26,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.65,2017-W26,2017,26,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.4,2017-W28,2017,28,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.43,2017-W28,2017,28,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.56,2017-W28,2017,28,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.34,2017-W29,2017,29,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.38,2017-W29,2017,29,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.4,2017-W29,2017,29,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.3,2017-W30,2017,30,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.33,2017-W30,2017,30,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.36,2017-W30,2017,30,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.23,2017-W31,2017,31,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.28,2017-W31,2017,31,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.28,2017-W31,2017,31,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.48,2017-W32,2017,32,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.44,2017-W32,2017,32,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.29,2017-W32,2017,32,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.47,2017-W33,2017,33,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.45,2017-W33,2017,33,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.36,2017-W33,2017,33,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
28.46,2017-W34,2017,34,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
